Sequential run Results: 
200 : 0.0568187
400 : 1.07831
600 : 3.36602
800 : 8.33666
1000 : 15.8838
1200 : 27.5835
1400 : 45.3038
1600 : 69.9473
1800 : 97.7118
2000 : 193.239

Parallel run Results: 
200 : 0.0258049
400 : 0.213652
600 : 1.12868
800 : 2.9478
1000 : 5.73741
1200 : 10.4401
1400 : 16.6213
1600 : 25.2345
1800 : 36.771
2000 : 82.1793

Parallel run optimised Results: 
200 : 0.0271391
400 : 0.0995512
600 : 0.346579
800 : 0.87246
1000 : 1.67729
1200 : 2.92588
1400 : 4.80034
1600 : 6.84845
1800 : 9.78533
2000 : 13.4774
