Sequential run Results: 
200 : 0.0637721
400 : 0.648574
600 : 2.98965
800 : 8.15421
1000 : 15.7821
1200 : 27.7839
1400 : 45.1934
1600 : 70.319
1800 : 99.9945
2000 : 222.532

Parallel run Results: 
200 : 0.0155819
400 : 0.224853
600 : 1.16958
800 : 3.5675
1000 : 7.70287
1200 : 11.5998
1400 : 21.9674
1600 : 28.3814
1800 : 40.2876
2000 : 87.7313

Parallel run optimised Results: 
200 : 0.0128136
400 : 0.101003
600 : 0.344563
800 : 0.904335
1000 : 1.69882
1200 : 2.95218
1400 : 4.79105
1600 : 7.53615
1800 : 10.4349
2000 : 14.826
